plaintexts,ciphertexts
78886767,bd8b956353f87dc9
8968A878,f37a8b0bb9d2ccf7
777A6565,701d8248a0abdecd
96745777,e16a840dd3c9646
74678657,aec40144e1810fc
77675BB7,c8171b894ea8c69e
59686878,878ada3ea46197b8
75956787,4bb0a93720b18fde
A58A9689,721b002074af94dd
87983877,40cbbf1c22d607fd
77579645,15c5476ae55c6f97
44687A97,61c0530c55a7ecac
A8977886,377a46e6d1945439
45863A78,280814468b5c33c9
96566677,f7fd55539454c506
A6498696,c77bdc3526e3ce8e
7A788697,683d087758446971
A3685666,c3cc282e2e67110f
5B776669,aff11a4451e4dbbb
78587987,2f8de687df582b47
78986679,3db645c70fe9713d
68887979,4a208fb5a0366a1b
66A7A867,cd03d6a21e82128b
A9977687,e489416cfe4cf458
5A665877,7f8aac82761df7e5
76568964,2fd2476af1643698
45997477,afdc9bac7201f797
94987757,7871d83d10683146
67636947,463c517e219a6ec7
8678677A,ae41c26641416ac
77799758,6e31d8b9b57d7877
77785699,21fbce524f6f981d
448A5888,89ed31f1eb27bacb
78574387,92df9c620de0785e
6859A764,fb5100f3aca44cc3
78836689,a088a6109783d2a9
58777877,30d10283e6e363c8
69978768,7f5460ce276da868
55789767,e62a6453046f746a
77787698,45ef9be7b420b116
76668768,b1c6c86c10544104
67576688,5e228005994e8d47
8A984886,b343f5e05f45b28a
85778568,f44b9e5ae8e0fecd
69777688,9bf1a0211ecca27e
7B867758,f5408bbe321ac6f8
7A675679,43a299061e2e9046
86768668,b6c0cfd6203f350e
85477856,b711528812fe563
98587675,a106dcb730d19936
766AA556,ab49d535587817f
79587668,82148724526979ad
46896697,13a374630b1b79bd
7589768A,eb9d56ceecff2f81
96948779,befde13461ce6848
75866787,603660e81899ee5c
76B878B8,aed7dd657f531b15
7657A777,1b59048b604b2d5e
87678669,dbab7ac2b9759348
79665756,76ff5493757e18d7
68779995,c69d4fda99641369
47667888,b18587a18d131d22
88869575,f1633bb0910cfa7
786A5876,bcb38c8c0e107b0
88685579,1826d0ffdc28704e
97857766,45550840184dda01
96665887,62267b639377505c
8A878596,8c222424a865bad9
99674866,8d08d31127b24ab
88669784,dd6865dd4563f619
97795C76,ab718c17dee60e34
6368A776,4738ba689bb60757
9A566969,660982996661b065
8787A777,b5ba37725f4248b9
59576487,e1266bd1c795b3d6
66B88677,470814aa591b80b
66867866,503102a22f460d6d
95445668,8c502e474a356de2
A7356689,c2fc23735d0034f4
9A596778,1c4d6161bb2e3e8e
8767A778,7dafbaef7c15cb91
67779677,d68d9fb11b22b1ec
78748668,1b4a715761134e73
79968567,26f106b9544a808b
777786A9,e376afdfeb466749
7698787A,1b538e621ee6574e
6A666697,dcff5a613489724
67A65768,d5c275ebdb082a92
98887587,67ea4be1babe7374
7667A657,35a2b98ebee02f2a
58689768,335a4677b7ad6832
A6757976,9b6cd72a22b079ad
97866657,fa8937f0e8b594d8
95768A56,720e8f2ffc68ec9e
7A886975,1106f508d0a8b060
58974557,e5ac48154e83147a
6A89798A,85c17aa7776f002a
88677779,5359091e4ab6b505
65896848,4e95708116401c5d
8867A797,ef826da95e00a6b
47877697,e7c6dde0d824b5e3
67A58666,4a0ae0fe57ba940
57969679,a0a5e5796f22c48b
98858795,4e64635b53a61d82
96798858,fe7d076240ee66d9
86875675,fc2ec397f278488
67898568,8b1c7a44498b26a6
8778A696,7c8242e77af053fa
76988579,131ba91b46932d68
99497767,e06afde910818c96
89937896,b39175ee8f7c4937
86596694,4ca6885e942470c0
77685967,86c072d0ad9cf1f0
59778659,e75edb7c1c468f0f
3763A876,df842c9e2ee0b3a9
87886588,8048056017a9df49
78668766,1cdf4f624869d175
4784967A,fd2c808736fb21d7
68677778,d90d994bf328f93d
64678588,f01e4e11502b448e
6A896878,7d8b9ef30828de96
7A996888,2e9e689617303438
68989878,d7f1d442c7c22b2d
58496888,f1a7cffa4c402450
99689867,13ddc333d46dfcc5
63995986,4858242f568a80a3
676A8889,58fc958b4ec16af3
5745A796,8c502299de675d20
748BA774,6ed3276ef2b16867
65A58699,83f0dba6baee5633
8677549A,4b8e3fd1c0a0fa67
68A65577,b71a76c7fd4723be
78656558,d0574f7a2b4f7016
A6775868,eb3d057c62103fa2
66756889,bf54f4316ff9b9b9
68698758,256d1f1634e39e98
84697637,27ec77a0b5c8609a
46679788,40c630f66206e59c
7A698887,d1ea65a84940267a
77677857,290b4f7615cc22c2
A6657869,148f1dc0f97e64c
B56798B5,5c91e602ba59016b
686B7568,78ca5306844284b5
7B889448,9c1ef664979edbc1
86958678,c5d708133cb03ec8
8B78A665,e9867bbe8d27e2cc
3678A885,4c08dadbd78e8beb
77977784,58480dd692ee48c4
87879765,c946bbbe92bc34fd
77586756,465d6fa0bb07cd5b
88785668,c2238995e4c812fd
76598875,55ea45c9a05a656c
58687655,b150539580f80a00
479866A8,4f568b54f5df38ea
76678567,6add761a514ed37b
77666877,9a9d830ba00a2a74
A8885776,769355dddf479e64
86968966,1153e7019a53580
87556677,56ee7903efe3b8d6
86A63598,7d4478586adcaa38
79876778,79c3e113a3a7b69c
77686766,70b5764588615cbf
87785847,5934ed3c1321b668
687558A9,4106edf79d93b01
86878868,250cab7d25546ae1
6A968968,6063c79083234ebf
66967686,182161b0e7abd27a
66967686,182161b0e7abd27a
37386696,59b8aa4638cbbc78
79977646,a6211afdf690e5cf
62467667,653c0ce77bb0de88
67778984,fc497cf3caac0262
58567A77,6181b289beeea615
B7986988,282b7e3d39f04c76
5659B968,7c199d523ff4ac84
86767665,35b9f61632346
7A8698A6,80d3f51c44988bce
73B56585,45f7878634f86282
84768588,f9c9dac26e450b0b
767B948A,4294196abc5818ac
68456687,d129f835671f62dd
99888797,ad93b888cd30427c
76777896,34f9955c47f34134
8686785A,a7e87df2542acaea
65576977,3352e416b41d8f70
76A89798,e0f3151a974a3bc7
78687757,5dc30a004cbe764f
96797776,f22b2dfdf3907105
79774756,5b982fafcc4f4532
7585A769,9bc4dbc796f14486
66969578,63492008ffdc8247
88968676,e982124bcfb4151b
776B4684,a9b3090d0e7e0fc3
74778667,bb7b74f5a59143a5
75859645,1fa181fa372cb169
57766496,a96c399de2449297
A4877767,53f9fe5de1307511
86967778,f53e55951c2fdf95
874558C8,476fe815c2ad2d92
66999869,d09cab10c58c91a7
86784657,b33cd5bcb0790865
67886585,55e22b3574983860
774A4788,d64a25da445f930f
79878978,452d38f81b9a82e4
74798786,f455093764f750f7
57885777,48dcd4477f87e69e
88797677,576f165ccfde774
76958775,83ebfe7feb119b8b
68785887,6cbfbd5ead05c3d6
6776A457,b1fd316b9326f2cd
98687667,89e5e89b6ee388ac
97489646,b539b975ad04ffe
87878875,ae177c29c6390706
67769A89,266262ceb87e6b21
A78A7589,787afe7d025fa14b
77656757,66d098ab02f61ba4
89787767,c5c1e4ce4d2b14f3
B8566587,48f5d42919016f1e
67866677,5dfe167b5f8f3004
98658767,6558dc5cbad493dc
79686898,de53241e6e8ed996
66879686,2f0ce258c3c464f0
867A8868,45689e6a2d320c30
86759567,b9a225748b158dc9
87867787,926892cba6b8b27f
74566676,fde798a45e8be8d
77979887,9c705e1db7685c18
8856A877,638df02012f82e6e
9765A886,f5f90152a21b236e
69647875,fe1f1148e5f2a5f5
75577877,c50d686e1317cb6
87795768,fadcd0ba195df8ce
A4787686,1ffdf15c6fc2d020
56566757,2d61be347a50def7
67767894,cbf15f0c6e8131e7
598898C5,d915edb30683bda3
68948775,66adea75631106b4
87668775,91f73a6b2aee8886
58957897,19385f8c133bebce
77648A86,2056b6333a11fa91
77789588,8feaf44debb5c64a
66876787,36d42d38e3df719a
96677788,98df81ebaebb1820
67877587,d5aa81ed8c958cb0
86887766,1b6fb89c07354032
78968875,672843eb8aed7d71
97574547,7091f6275c37f591
36765B58,a0a5d1adfaa2f693
84679567,b44e4e30addefe2e
9877978A,596479abfbc30c6b
8A667777,4d61f53b4c03140b
67565887,af410a00f7751839
C796A675,752b316dc96e8050
57359695,2d6bc17742958965
75796669,246c97fcfa5b8c36
8A586A79,8730f1a2a9139e88
89796766,f451c428227c7f70
84796778,a2fe84e41d5ffe9c
88774598,20312e84fe63a9ad
66877596,aa89f4872ea09bb0
98889769,20d9e017b8c5cee2
48599778,758a14541bada648
8656A876,e38316ed07bc9f76
77878866,5f9e6bd4801c2aff
667984B6,37b0ae9a2500341d
66756659,54073afa26506c8e
57977797,b7169d67bcae69d6
467596A8,5a8f32bdae52db03
78866665,3cbee7744c6adebc
58687875,d1f94c3ebe9e2219
57678669,b4deacedd3ea20e8
889A8868,2a531b0eadc23ba9
88657866,9499869b9f6e6fb3
78946956,c404beb2d407ede1
88774795,2cba583200c2394a
55686976,c187f00cd005b059
69569878,bce5e595448e5386
49776738,b7d0ca0664707d4d
48665549,fe5b699177523a29
74676885,c5f5e6bf23789191
75A685A8,c190e28ce7f58317
77688584,fdd0211432553d18
66856867,4387e0f1d539c843
78968766,257dff8d7fd44100
668A7678,5438a5d0a1603c44
6A658689,1c11a529f8e84c2c
87886749,735328ef08f73657
86887758,9a806f2dd979f76b
665B8787,c07e8b48319737ef
664688AA,b58f42eb0bc2f789
76376766,9fcf2926c788123a
68866676,f26ff6ee9a6d2956
8787A759,58f740e285257bca
88678796,47803902d6d70d
987775BA,75f4a02e22223df
67985668,b41d822bcecb5c15
7578B877,1ae074eddcf8e660
98886577,b4f1e704dfffe45a
A6976867,f692169b04fceb4b
6A678676,deab90728c87dd61
76767776,1d967d0394ac3fa7
868775A8,56e0e826baa0ea25
85B56865,8697c46c68c183f4
B8886958,cb1ad7df86d37d93
75576858,76075927e3da8ae6
78875796,f2abb0f51729f5d7
567578A8,644a01b723e15983
A96B867A,60d7d44854c31741
75875757,87c9912483155a88
6667B956,342cf22fbe9c3cda
58688794,ee59fa1718a1bd9c
67975776,e3f7a3c4baad458b
7567A966,513aacd544a57d3
85788798,97904ac116a1650d
8A797958,81a0c77244dc9f03
96779795,9a2b4a152ad36bef
76997756,5ac6b4b6a7d62c2
846B8677,f9609da5ef71ea5b
66877766,2203f85fb6b454ca
5B678597,c01944d67709fb88
77857776,39396822309b21e1
877777A8,c91d16083ab3de5c
BA874798,c45004c0a171835
57768C98,c4682236f4d3c666
63974584,251dc3d8594dc9e3
77837775,da678ec3fe330cf2
74789899,f104c38abc78f290
77657458,cb5eac6e3c2614ec
54888759,f3517bb20a3fb0e1
44878788,c1d5d0ee1f6f002
86869989,830b923ba9ab0c04
87645865,4983f037750ed980
77868767,a2736720efc2cbea
269A8668,2fcf30b705da4519
B6978996,a89bd97b54a4a241
777B8888,63792ab9ea2917ea
887988A7,7f1abf83fb96f9e5
96875678,f79223d70909facf
54989A76,a6949f5d65a1349a
76678964,97b905d27fe39215
596866A7,d2ca594dec874d43
78767569,474c4256711fe660
87668778,6054272d52c71ab4
99695895,c85de774c8e4c969
A9AC7778,ec8a1e49a53f000b
57587576,e3de4f911bce50bc
86688679,a62bbe4771503379
85A58766,5fbfebf682b28cc
88766786,326714896d821f80
88875788,dab325baabc176aa
48777965,eaad05cb011f473a
86756768,59a0f855be91f3fe
68985797,95fc6d58f140b6d2
87788799,c76ed1220ec2533a
86578379,75c742bc73c665c
6865C367,e67ddce70b770183
78776A55,abe761cf80fe1c55
6696849A,5eca0068c5b1bd15
56688956,6c29fd5de1d39388
47857786,4995bc6f8be01f1f
6877A676,e9a75d4a5d493dd5
95676A97,9b5d256eb488519f
85597778,7305593acc3959fc
55656678,291e7d83a80fa53f
59868474,4e879c384eb0b806
67885778,83fef7a20b7e6e47
69796896,2bfdc302f6300476
98767774,d44466a8969ab69a
87997887,a056324be661ec66
47846688,6bcea2aeda9cf30c
86789784,5228a878dfb56905
65977787,38a35a585f488be0
96897689,15379aaa570fa8fa
88887855,508420c5c3646623
76788575,c5fef992b565e84a
5764A898,ffa4ad8599096fcf
8988797C,72dfc6a6c808a8be
77978785,e97f1867735c1afb
6867566A,6b71ca6cb98a5dd5
88994647,ceea02f03cef8ab
76569786,4e0a0f1cc48179a3
88994977,66d2be17d0b47524
64948866,6f183be6659b7068
79767668,e5fca5fa0c6b9dc
589A7868,e31b604ee4a3e526
57666857,5e548fbfb3eef29
A686A768,f31a267bcf167c95
A6586677,cc5140e509c3db4e
79956858,c778193c22ff1355
78858A77,4952516eb8f55361
7A676767,645aa2568397ce8
75565767,4d0dbbdd1eb7b2a8
65586576,f4c68999c0e4a618
79656888,aa81aa5de4eb9066
66857676,b1d3b1bcf5838d8a
69788776,a1ee8aa73a39f25b
57759A67,e0560ce876e95053
58667765,bd55bc1157a56c7a
65786678,14cc2c0b372108b6
85997865,d62e58b41710c300
46896456,c127f87369cc2414
78857788,5ad92d4608bf6e3d
66688885,70546bb3c3e67131
7A996977,13fc19ecc90713e7
66897656,51ca9a470fbd9348
77889977,74cb64f322caaba2
87887757,8f67e70fd8b75a01
66847579,26862316a97e7588
78769578,876fede0bcbf1b15
54664488,13ee6fe2a7b48e13
87578378,b341e1f880b64ae2
66686897,b976e26fa8894105
84667687,4e5747a8a80f1657
48968863,6b8b1ff0111a5a3b
76588858,afad01a86025d948
79A78667,e572769ef51a6e74
9A955885,2ca503986cc9dbd3
7A668687,f5af2f812a3e192a
78485567,66517d7e052c775e
687A9688,b25e64a20299ff05
76A8A956,663cc6bc6e2aa266
878477D8,5b70a13013609ed8
B9798988,478aeb8738dc55c6
84678576,bfeba924fafe2465
86985669,76cdfb6da3e4c19d
58876798,2b21ab92f482f9c5
979A9669,fbf16b0ebeae2a78
9A86A567,fb0f8cfcf775a9da
A8776858,b2169fc86b0a2b64
66867767,2d8de6425d331ceb
65956877,ea7748502657e834
99A77658,9d11a48434a8fedb
74557958,d12c36e87ba850bb
85588777,4ea48be001869489
96767A85,b5b1bc9abaa80328
87A97B67,66dd5a51b794890e
77799888,515ec9a10b304e90
87676747,b9f8f45f22e216df
67656798,bfd9f1bf092b27f0
49666878,1164aa2e2a56a99b
9674469A,20b72b52cae79210
A8868786,76f20b6a64c8c074
67A78557,d55d7bb913fcdc81
556A4786,57bb8922c1b32fb2
7787785B,a8052458b104986a
67767577,1bb46fe7b54a9b95
68777868,954a8c449b8bb2df
68579976,4e21416d796904d1
A9667975,eab43d2203946940
59948455,31bcc2c3bab8c75a
67874759,4fdff095bfcb583b
6A995898,d3104bf7b58a5192
66555767,e49de43be24a3714
88699957,418045918cd58c69
5777889A,f0b879105b174696
96877B68,71bfd6a961956034
99464344,5d85f22c3774c0a3
665A6768,7c5b6a327ae475ea
968967A5,c7544484b1eb72a3
88759788,90e594ac726c0f13
69667686,2023005c8fa3a1e1
66688775,1731077a8c103c81
59779759,bbdeacb4384b1ba9
69656789,9a26f6eb6f5ba2bb
87483888,a4d2762521550a80
76879889,ebf22c6bc4d327ce
688776A5,a02e07ccc8c150fa
76788855,a622525ef8c47368
77869766,a08669fe87ba5a56
97765686,3994060f1062d6a4
77567677,a634d00315842dce
998798B4,372ecfe90037cbc6
88768886,dc3cb9257e8256f9
66757686,4091b4292e64cade
77869789,5b9730b31971f116
54354856,cf5e266a328cd3f3
77936677,7a69dda670caccbe
75997B86,bda6e743a3094ea8
84766675,2f8dd10dac35b085
66587856,b6bd09b5aeec32e5
588657B7,c7eef236cd7ec10e
86867973,cf833417cec2d3c
8776A896,f73fbace309e82c2
79354877,9f59ba1aafc46604
88966976,ba232b7bc56f4f7e
76977676,57af637db99b09bd
76877778,6085b41c71256882
77667869,d620f63b6b6d2a1d
45779568,3720ef40b9d6dbb8
77687778,d31debc7a39de81
96798677,f31ba082b706cd4f
698A5875,4f7f336e98493b57
68789878,5ac31639557de363
9A686888,98c03d48241839bf
69876976,af683cb29ce9a8ae
8987878A,33e28fcc77b138ce
8A669976,d87c7970c6286f66
87997A65,41eaca3359f1cb23
76894655,dcc93faeb08232e9
886A8967,4e90e3a9f6475baa
77784667,1210ac5124511113
79765887,ead2449f74f86e32
56766877,3d2b48763342c4ee
76747779,8183468c46cafee4
66889A68,cc1e309635a76188
97467B88,eafaa7ecc31f6bb4
56895776,6d2a97964b2b7fd1
69995874,f1faa6b7f8805f30
75664587,b65fc77c642a8613
57876895,39b9f1dc8df36931
988878A5,b3937b003829a690
79858889,89d79cc4677cc5e6
88657A9A,3cdadc7c15985e75
88769A88,1e6902e01feec0f2
B768967B,fb4cbfcc02c75f74
77A98658,2d601b07be4c8d7f
6B766775,867565ff415beafa
79555855,188ba96227a5eac7
87779857,9383586acdddb6e2
66788869,e2b36abc9b519b13
76977768,17ff9294f84674e8
98878867,e647563bec1114c5
58978567,12b4d99be6a3a4df
94688786,9d8a0a4f44d5ed88
878A898A,4045b75ea289587d
6A798679,6ccb74d875a5556a
76878976,3c12a30a63c6402a
78895665,768de80579689a7
58867A48,f0681976c9b3a624
68889537,3465cf807fbe28b5
A5777565,a7da99d6467ad066
66888758,332da96933d1c46f
779A5588,5d623de5e994df66
97B59988,b898804eb329c8e
77575666,b83f838e8bd1b4ae
76977787,9f4e284b03d199ff
56765755,2c19fdeab2691d97
47886876,5b0b8e7766a7958e
66568788,d1314a1821137617
77797677,550248a67e7b6bfe
7886A676,e143f19b4aef5f7e
79768785,beaaf09c09b0dcbc
96568A78,a5955dec01474043
B5568986,a41ebe19de1c6406
64787778,894d795af77135d
96786899,d84bff25a1bac500
48788669,6c97457e9c3dcaae
95567969,e16fae295d573cbd
67558587,7e4ec13d3311e79b
55693958,9bed79e3e20312ba
68845967,ab3d8bfe3285bb5a
77778787,ccf7a88c7e466bdf
85867965,2d3b55b44e7b19ae
856A9979,43e178cbb87bcc60
87767588,5a73fceff07920be
897A5966,2fe62cb507180330
6A368679,2d6ed46c369fec1f
77988457,64ef59e0ed47b609
7797B868,630b11ac30895808
57776558,ce43969c56e457f0
57985657,9b8767bb7329fcba
68679786,1af28c204977d39c
78887777,f32ffa8565c1b9f3
86867567,cf0ccdbad68abd04
77567A66,b003064b29da5536
58978976,2a42c7e63faf5633
77668586,fc0e485fe377da29
658B4A86,19b522df85458f7f
87786775,838103e47b11562f
79836669,4bff9e694040fc66
666BB789,778846ba8e83891e
78887384,d78a9861cd5f4017
75687557,e7b3ff60d76b8a90
66688587,177ec642b136cac2
7898567A,64c24f19f9bff8a1
85754757,7e4992bc0a66150c
78899788,e0f3eba4058f66ab
77767989,ab88a4d87c4ace19
98659755,c5860ea6aa7d931d
88847848,d16c0f19e1456ef3
886AA698,9e7dea04744f4a95
87979669,3ca2640213186826
6876769A,f291924a542a36e8
956A6578,60b722b802af559d
87875786,53abc30505cc63d7
69779785,2945f0f788564cf5
68787768,d44cef7e1b62425b
98876865,67e82fd0f8dcd5dd
68895887,b4baf448fb919113
66777578,b5db72b86aacdf40
87878848,e8d3000359dd212c
87667798,f176129bde2e58bf
88794862,256d85819285deb6
877A7679,84795a8f18b197a4
66696386,cdec9ec7896c01ec
78587687,256e0e128eff2aca
66665875,cb3eb12827984d76
6565B989,c75de93382b72795
68566878,6664a552018436a0
79886688,6abe8772876a6a38
97856889,1912105c420fe411
78588B68,1311b5fb9fafa9a1
87555895,d0078801947d69fd
77968787,1aff4641c47f7237
89666845,d59185fe4fc9e36b
A7578777,4f0e21f16bb22b58
67778967,ea1229f3e8a814d
5A686587,e9c72a906ac7b04b
78978978,6722625216007d98
89959877,e6fca8d78579e5bc
35689776,5de703dc5d37af5c
79697668,1a0a03a1cf765399
73576A98,d8ab4527647b635f
56756789,d7ffcb36f9823998
47975567,cc2751c38eecd4a5
78795669,329deb425a79d2e1
77789348,82483da8fe75b66e
878858A6,af4a0e790a3c6903
57667877,a2939950a6133e11
79757857,caacf4ca55e9b00f
67778A79,56f69d9c2eb72d59
66765577,3150b00af2814ab7
87585487,cfaf9966de2b030
6A666585,a2353d4f10f140b9
56886766,7caa994d9d17049f
877A8876,6a15b0c8ba7c2b6e
87545878,a244c72824b51071
663A7AA7,4fb29540a1871963
79784787,3612c9fe787bcb62
88887A83,c2e52af5d9e68a86
7A785686,63264bc97f17cf2b
4999839A,545058704dadb9b3
A978A889,f7119b3c7baf1044
95778887,191010625d75dc21
69988788,dae5bd67a72e81f0
6877A698,9969b637e3b71cbb
7977668A,15ca86fc30ea441b
64644759,a395078dffa709ce
89673876,cf8c3be9d6fbce1c
57677986,dbec08a86c0eb79d
C7998767,377e60ce57c64ea3
88ABAA8A,5dac722b21a00fb7
88655767,e84ede3a9066426a
759665A6,c581d8d23c61eda1
679A65A7,e24413c74d57234b
58763878,7de1a16b0065f3d9
78796657,53029d84b27fd30
87548858,b0abe6a82c8d497f
46787869,7569d83c87df5aa6
88856874,75ae686b001535a4
67676665,f6a358db291026b3
88988766,faaad3ed1b357954
53688677,fa2bfa6edfbc4732
89877776,ed2c060eaadc0301
46566985,178402c39e5732dd
7A867767,52ec819e4aa4312b
886A7677,d92deadb1d06335c
75867776,8b875803862baf3a
A5566669,ef816ae793b4a520
64667885,d49dc758eccd9f44
83858597,6d1a8de82756a3f6
86968756,c99be3a0e63cc51f
87777787,be86116b90b14b74
76856475,1cea863e33e27111
78448779,74b59df057db5518
8B696998,45a91b457f802d6a
87788977,98658e5bafe6435a
76536756,c7f2d7efcda902ac
97678A66,6f35f4fe191792c6
58885756,3343a29a81bae529
55788894,a3f1c0eac1faa08a
78487656,ecc0838c6bb53202
56475596,78657a9a209e49e2
84778766,a148e9f83e5a54fa
6878857A,e280c02a7205208b
77886888,a129749bfcb43b41
77387878,f73178cc384d0861
669665A7,d92f99e6140abd09
66777576,8bd7f06973e4262
78968847,22863392250511b4
479B6775,572142213a8e22
676A6886,5e8a00d86c5b8cd1
69987967,596512948fa3de20
5A4A66BB,17be88f2804b1a0e
